Date;Feed Composition 1;Feed Composition 2;Effluent composition 1;Effluent composition 3;Conversion;Feed Flow;Inlet Temp;Temp1;Temp2;Temp3;Temp4;Temp5;Temp6;Outlet Temp;Water in Temp;Water out Temp;Water Flow;
1-Jan-16;16,140;0,290;1,150;1,270;92,875;210,038;135,020;145,447;134,347;;157,084;150,248;146,698;145,819;145,005;150,656;849,101;
2-Jan-16;17,180;0,270;0,970;1,930;94,354;205,164;135,001;145,454;134,707;;161,621;152,492;147,093;145,866;145,000;150,803;850,092;
3-Jan-16;18,720;0,220;0,760;2,980;95,940;149,690;134,366;145,511;135,748;;165,397;153,489;146,909;145,677;144,928;149,743;847,659;
4-Jan-16;16,380;13,600;1,580;2,100;90,354;230,104;135,102;144,896;135,971;;164,378;164,435;150,105;146,274;145,008;150,839;850,466;
5-Jan-16;17,990;18,620;2,010;1,620;88,827;209,876;135,102;145,546;134,370;;164,374;171,970;149,161;145,928;145,005;151,264;850,200;
6-Jan-16;15,710;21,020;1,740;1,940;88,924;184,265;135,584;145,400;134,420;;153,531;171,201;150,585;145,765;144,987;149,947;850,346;
7-Jan-16;17,010;15,310;1,900;1,720;88,830;249,935;135,057;144,737;135,866;;154,627;157,194;160,239;146,588;145,007;151,313;850,803;
8-Jan-16;16,840;13,460;1,870;1,770;88,895;235,690;135,239;144,708;136,693;;153,669;154,599;164,275;146,805;145,001;150,704;850,465;
9-Jan-16;33,840;14,710;1,900;1,710;94,385;219,954;134,987;144,960;136,186;;153,522;154,142;166,498;147,008;144,998;150,649;850,866;
10-Jan-16;16,780;15,560;#YOK;1,710;#YOK;220,040;135,063;145,149;134,945;;153,879;154,478;169,529;147,753;145,004;150,981;849,691;
11-Jan-16;17,290;15,150;2,260;1,660;86,929;209,860;138,163;145,959;135,824;;153,159;153,644;169,388;147,362;145,006;150,649;849,637;
12-Jan-16;16,370;14,360;2,280;1,890;86,072;210,039;138,138;145,843;137,352;;152,797;153,112;167,541;147,565;145,002;150,323;849,547;
13-Jan-16;16,140;14,180;2,290;2,260;85,812;220,105;138,136;146,272;137,279;;153,874;154,118;167,559;148,834;145,998;151,239;850,300;
14-Jan-16;15,770;14,270;2,210;1,780;85,986;210,003;138,006;146,308;136,422;;153,625;153,768;167,152;148,605;146,007;151,038;849,835;
